epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
92,281.138,2.99013,4.32258,16.7962,0.01201,3.15111,0.83316,0.64,0.69788,0.33677,0.62135,0.52,0.474,0.22125,5.05294,13.2815,34.0125,0.06304,0,6.997e-05,6.997e-05,6.997e-05
93,283.99,2.91124,4.49184,17.2656,0.01225,3.40643,0.7418,0.68981,0.69098,0.33071,0.57902,0.52,0.45119,0.20676,4.93309,13.2389,34.5286,0.06134,0,6.964e-05,6.964e-05,6.964e-05
94,286.872,3.00673,4.36192,16.3994,0.0134,4.20142,0.75429,0.68,0.69598,0.35323,0.57974,0.52,0.45465,0.21664,4.89756,11.8064,32.2765,0.06185,0,6.931e-05,6.931e-05,6.931e-05
95,289.679,3.23265,4.66308,18.8991,0.01357,2.82153,0.71979,0.72,0.70763,0.34475,0.69955,0.55885,0.48904,0.21931,4.86753,10.7321,31.3756,0.06166,0,6.898e-05,6.898e-05,6.898e-05
96,292.591,2.79902,4.22137,16.3915,0.01332,5.16767,0.85756,0.64,0.6871,0.32341,0.6912,0.52,0.47098,0.20854,4.84209,9.00882,31.7942,0.06151,0,6.865e-05,6.865e-05,6.865e-05
97,295.369,3.05673,4.43513,19.4367,0.01147,3.88043,0.88128,0.59414,0.67536,0.32221,0.60304,0.44,0.43101,0.19952,4.6599,8.4785,33.2022,0.05826,0,6.832e-05,6.832e-05,6.832e-05
98,298.178,3.02547,4.0741,18.0102,0.01522,4.093,0.81923,0.6,0.60012,0.30539,0.6666,0.48,0.38907,0.18789,4.53341,7.60796,33.0488,0.05649,0,6.799e-05,6.799e-05,6.799e-05
99,301.015,3.21197,4.33167,18.1035,0.0143,4.03919,0.77333,0.6,0.57831,0.2966,0.6699,0.52,0.42967,0.20051,4.44044,7.42135,35.4428,0.05476,0,6.766e-05,6.766e-05,6.766e-05
100,303.912,3.14815,4.45512,17.5115,0.01433,4.13475,0.81074,0.52,0.5746,0.29352,0.73461,0.48,0.46046,0.21936,4.27108,7.19754,35.2708,0.0519,0,6.733e-05,6.733e-05,6.733e-05
101,306.698,2.94525,4.04128,16.7836,0.01506,3.33829,0.80201,0.52,0.58586,0.30857,0.62618,0.56,0.4876,0.2387,4.14636,7.1725,35.2347,0.04981,0,6.7e-05,6.7e-05,6.7e-05
